#modifier
	naval_invasion_plan_cap = 登陆作战计划上限
	naval_invasion_division_cap = 每次登陆作战计划的陆军师容量
	学说页/主要学说名/次要学说名/学说线_mastery_gain_factor = 精通度增益
	学说页:land/air/naval
	陆军主要学说名:new_mobile_warfare/superior_firepower/grand_battleplan/mass_assault
	海军主要学说名:new_fleet_in_being/new_convoy_raiding/new_base_strike
	空军主要学说名:new_strategic_destruction/new_battlefield_support/new_operational_integrity
	子学说文件位置:common/doctrines/subdoctrines
	陆军学说线:infantry/combat_support/armor/operations
	faction_influence_war_score_factor = 阵营影响战争分数系数
	faction_influence_gov_in_exile_factor = 阵营影响流亡政府系数
	faction_influence_contribution_factor = 阵营影响贡献系数
	faction_influence_power_factor = 阵营影响权力系数
	planning_decay_rate_factor = 作战准备下降率
	army_experience_from_volunteers = 来自志愿军的陆军经验
	automatic_grant_medal_chance = 自动获得免费勋章几率
	unit_medal_effectiveness = 单位勋章效率
	factory_energy_consumption = 工厂能源消耗
	army_retreat_speed_factor = 陆军师撤退速度
	military_factory_donations = 军用工厂捐赠
	industrial_factory_donations = 民用工厂捐赠
	production_cost_industrial_complex_factor = 民工造价减少(慎用)
	production_cost_arms_factory_factor =军工造价减少(慎用)
	hcp_exincome_monthly = 每月额外收入
	hcp_income_factor_monthly = 每月收入修正
	hcp_Industrial_tax_factor_monthly = 工业税修正
	hcp_Consumption_tax_factor_monthly = 消费税修正
	hcp_exoutcome_monthly = 每月额外支出
	hcp_outcome_factor_monthly = 每月支出修正
	hcp_Military_maintenance_fee_factor = 军队维护费修正
	hcp_Army_maintenance_fee_factor = 陆军维护费修正
	hcp_Navy_maintenance_fee_factor = 海军维护费修正
	hcp_Administration_outcome_factor = 行政支出修正
	hcp_income_for_overlord_monthly = 贡献给宗主国的收入
	hcp_income_for_overlord_factor_monthly = 贡献给宗主国的收入比例
	hcp_income_for_CHI_monthly = 贡献给天朝的收入
	hcp_income_for_CHI_factor_monthly = 贡献给天朝的收入比例
	civilian_factory_use = 决议需要暂时使用的民用工厂数量
	send_volunteer_divisions_required = 可以派遣志愿军的师数下限
	send_volunteer_size = 志愿军容量下限
	generate_wargoal_tension = 制造战争目标的紧张度限制
	justify_war_goal_time = 正当化战争目标所需时间
	join_faction_tension = 加入阵营紧张度
	surrender_limit = 投降界限
	opinion_gain_monthly_factor = 改善关系评价
	improve_relations_maintain_cost_factor = 改善关系持续花费
	communism_acceptance = 共产主义外交接纳度
	democratic_acceptance = 民主主义外交接纳度
	fascism_acceptance = 法西斯主义外交接纳度
	neutrality_acceptance = 中立主义外交接纳度
	consumer_goods_factor = 生活消费品系数
	consumer_goods_expected_value = 生活消费品期望（慎用）
	min_export = 可出口资源
	trade_opinion_factor = 贸易协定关系修正/贸易影响力系数
	mobilization_laws_cost_factor = 征兵法案花费
	trade_laws_cost_factor  = 贸易法案花费
	economy_cost_factor = 经济法案花费
	political_advisor_cost_factor = 政治顾问花费
	tank_manufacturer_cost_factor = 装甲制造商花费
	naval_manufacturer_cost_factor = 海军制造商花费
	aircraft_manufacturer_cost_factor = 飞机制造商花费
	materiel_manufacturer_cost_factor = 军需品设计花费
	industrial_concern_cost_factor = 工业企业花费
	theorist_cost_factor = 理论家花费
	army_chief_cost_factor = 陆军部长花费
	promote_cost_factor = 晋升花费
	navy_chief_cost_factor = 海军部长花费
	air_chief_cost_factor = 空军部长花费
	high_command_cost_factor = 总司令花费
	research_speed_factor = 研究速度、科研速度
	special_project_speed_factor = 特殊项目速度
	local_resources_factor = 战略资源获取率
	autonomy_gain = 自治度每日增加(加多少打多少)
	民主 = democratic  法西斯 = fascism  共产主义 = communism  中立 = neutrality
	意识形态种类_drift = 意识形态每日增加(加多少打多少)
	local_building_slots_factor = 地区最大工业值  ##state scope
	global_building_slots_factor = 地区最大工业值  ##country scope
	production_speed_buildings_factor = 建造速度
	production_speed_industrial_complex_factor = 民用工厂建造速度
	production_speed_arms_factory_factor = 军用工厂建造速度
	production_speed_nuclear_reactor_factor = 核反应堆建造速度
	production_speed_synthetic_refinery_factor = 化学合成厂建造速度
	production_speed_dockyard_factor = 海军船坞建造速度
	production_speed_bunker_factor = 堡垒建造速度
	production_speed_infrastructure_factor = 基础设施建造速度
	production_speed_rail_way_factor = 铁路建造速度
	production_speed_supply_node_factor = 补给中心建造速度
	fuel_gain = 从石油获得的燃油
	fuel_gain_factor = 从石油获得的燃油
	fuel_gain_from_states = 从炼油厂获得的燃油
